Category,Language,Question,Answer
Cards,French,Quels documents dois-je fournir pour postuler pour une carte BK?,"Vous aurez besoin d'une pièce d'identité valide, d'une preuve d'adresse et d'un compte bancaire chez BK."
Cards,French,Puis-je utiliser ma carte BK à l'international?,"Oui, les cartes BK peuvent être utilisées à l'international pour les paiements et les retraits."
Cards,French,Comment bloquer ma carte BK si elle est perdue ou volée?,"Pour bloquer votre carte, veuillez contacter immédiatement le service client de BK ou utiliser l'application mobile BK."
Cards,French,Comment vérifier le solde de ma carte BK?,Vous pouvez vérifier votre solde via l'application mobile BK ou en vous connectant à votre compte bancaire en ligne.
Cards,French,Y a-t-il des frais pour l'utilisation de ma carte BK?,"Oui, il peut y avoir des frais pour les transactions internationales, les retraits d'ATM et le remplacement de carte."
Cards,French,Quelle est la différence entre une carte de débit et une carte de crédit?,"Une carte de débit utilise les fonds de votre compte bancaire, tandis qu'une carte de crédit vous permet d'emprunter de l'argent jusqu'à une limite de crédit."
Cards,French,Puis-je mettre à niveau ma carte BK?,"Oui, vous pouvez mettre à niveau votre carte BK en contactant le support client pour plus d'informations."
Loan services,English,What is BKQuick +?,Allows you to borrow up to RWF 50 million and get it within 15 hours. No collateral needed.
Loan services,English,What is a Secured Personal Loan?,Allows you to borrow up to RWF 80 million.
Loan services,English,What is Tuza na BK?,"Allows you to borrow up to RWF 500,000 to cover school fees."
Loan services,English,What is BKQuick?,"Allows you to borrow up to RWF 500,000 from your mobile phone instantly."
Loan services,English,What is an Overdraft?,Allows you to make essential payments based on your receipts or income.
Loan services,English,What is a Vehicle Loan?,"Designed for purchasing a vehicle, such as a car, truck, or motorcycle."
Loan services,English,What is a Mortgage Construction Loan?,Provides a loan facility towards construction of a house.
Loan services,English,What is a Home Purchase Loan?,Provides a loan facility towards home purchase.
Loan services,English,What is a Home Equity Loan?,Allows you access to funds using your home equity.
Loan services,English,What is an Affordable Housing Loan?,Allows low and middle-income Rwandans to own a home.
Loan services,French,Qu'est-ce que BKQuick +?,"Vous permet d'emprunter jusqu'à 50 millions de RWF et de l'obtenir en 15 heures, sans garantie."
Loan services,French,Qu'est-ce qu'un prêt personnel garanti?,Vous permet d'emprunter jusqu'à 80 millions de RWF.
Loan services,French,Qu'est-ce que Tuza na BK?,Vous permet d'emprunter jusqu'à 500 000 RWF pour couvrir les frais de scolarité.
Loan services,French,Qu'est-ce que BKQuick?,Vous permet d'emprunter jusqu'à 500 000 RWF instantanément depuis votre téléphone mobile.
Loan services,French,Qu'est-ce qu'un découvert?,Vous permet d'effectuer des paiements essentiels en fonction de vos reçus ou de vos revenus.
Loan services,French,Qu'est-ce qu'un prêt pour véhicule?,"Conçu pour l'achat d'un véhicule, tel qu'une voiture, un camion ou une moto."
Loan services,French,Qu'est-ce qu'un prêt hypothécaire pour la construction?,Fournit une facilité de prêt pour la construction d'une maison.
Loan services,French,Qu'est-ce qu'un prêt pour l'achat d'une maison?,Fournit une facilité de prêt pour l'achat d'une maison.
Loan services,French,Qu'est-ce qu'un prêt sur valeur domiciliaire?,Vous permet d'accéder à des fonds en utilisant la valeur de votre maison.
Loan services,French,Qu'est-ce qu'un prêt pour logement abordable?,Permet aux Rwandais à revenu faible ou moyen de devenir propriétaires d'une maison.
Digital banking services,English,How secure is Agency Banking at Bank of Kigali?,"Agency Banking at Bank of Kigali is highly secure, with measures in place to protect customer transactions and information. Agents are trained and authorized by the bank, and each transaction is processed through a secure digital platform that requires customer verification, often through PIN codes."
Digital banking services,English,"What is Agency Banking, and how does it work at Bank of Kigali?","Agency Banking at Bank of Kigali allows customers to perform basic banking transactions through authorized agents rather than visiting a bank branch. These agents, often local businesses, provide services such as cash deposits, withdrawals, bill payments, and account inquiries."
Digital banking services,English,What is BK Yacu?,BK Yacu is Bank of Kigali's agent banking solution that enables BK customers to carry out their banking at their nearest agents without necessarily traveling long distances or queuing for several hours for the service at a conventional bank branch or ATM.
Digital banking services,English,How do BK Yacu services operate?,"1. Customer visits a BK Yacu agent. 2. Customer requests a transaction and provides their ID for verification. 3. Customer dials *334# on their mobile, selects withdraw, enters the amount and PIN, and shows the message to the agent. 4. Agent inputs the client's PAN and passcode into their app; both receive SMS notifications. 5. Agent disburses the cash. 6. Customer signs the receipt book, collects their cash, receipt copy, and ID."
Digital banking services,English,How can I apply to become a Bank of Kigali agent?,"To apply, visit the Bank of Kigali's website or contact us via email bk@bk.rw or call 4455 or +250788143000. You will need to complete an application form and provide necessary documentation, such as your business license and identification."
Digital banking services,English,What services are available through BK Yacu?,"BK Yacu offers a range of essential financial services, including cash deposit and withdrawal, sending money to anyone in Rwanda, and applying for account opening. Users can also pay bills such as electricity, RRA taxes, and make payments to merchants for goods and services."
Digital banking services,French,Quelle est la sécurité de la banque d'agence à la Banque de Kigali?,"La banque d'agence à la Banque de Kigali est très sécurisée, avec des mesures en place pour protéger les transactions et informations des clients. Les agents sont formés et autorisés par la banque, et chaque transaction est traitée par une plateforme numérique sécurisée nécessitant une vérification du client, souvent par code PIN."
Digital banking services,French,Qu'est-ce que la banque d'agence et comment fonctionne-t-elle à la Banque de Kigali?,"La banque d'agence à la Banque de Kigali permet aux clients d'effectuer des transactions bancaires de base via des agents autorisés plutôt que de visiter une agence bancaire. Ces agents, souvent des commerces locaux, offrent des services tels que les dépôts d'argent, les retraits, les paiements de factures et les demandes de renseignements sur les comptes."
Digital banking services,French,Qu'est-ce que BK Yacu?,"BK Yacu est la solution bancaire d'agence de la Banque de Kigali qui permet aux clients BK de réaliser leurs opérations bancaires chez leurs agents les plus proches, sans avoir à parcourir de longues distances ou à faire la queue pendant des heures pour un service à une agence bancaire ou un guichet automatique."
Digital banking services,French,Comment fonctionnent les services BK Yacu?,"1. Le client visite un agent BK Yacu. 2. Le client demande une transaction et fournit son identifiant pour vérification. 3. Le client compose *334# sur son mobile, sélectionne 'Retirer', entre le montant et le code PIN, puis montre le message à l'agent. 4. L'agent saisit le PAN du client et le code d'accès dans son application ; les deux reçoivent des notifications SMS. 5. L'agent remet l'argent. 6. Le client signe le registre de réception, collecte son argent, la copie du reçu et son identifiant."
Digital banking services,French,Comment puis-je postuler pour devenir un agent de la Banque de Kigali?,"Pour postuler, visitez le site web de la Banque de Kigali ou contactez-nous par e-mail à bk@bk.rw ou appelez le 4455 ou le +250788143000. Vous devrez remplir un formulaire de demande et fournir les documents nécessaires, tels que votre licence d'exploitation et une pièce d'identité."
Digital banking services,French,Quels services sont disponibles via BK Yacu?,"BK Yacu offre une gamme de services financiers essentiels, y compris les dépôts et retraits d'argent, l'envoi d'argent à toute personne au Rwanda, et la demande d'ouverture de compte. Les utilisateurs peuvent également payer des factures telles que l'électricité, les taxes de la RRA, et effectuer des paiements aux commerçants pour des biens et services."
